branch	branch_descendants	Turdus_merula	Cataponera_turdoides	Turdus_niveiceps_NRM569330	Tp_mindorensis_AMNH575605	Turdus_pallidus_UWBM75229	Turdus_celaenops_NRM90188019	Turdus_chrysolaus_orii_UWBM83174	Turdus_feae_BMNH1905910913	Turdus_obscurus_UWBM78352	Tp_sspunknown_FMNH358378	Tp_thomassoni_AMNH416872	Tp_mayonensis_ZMUC02632	Tp_nigrorum_ZMUC138023	Tp_sspunknown_CMCB36870	Tp_malindangensis_ZMUC141794	Tp_deningeri_ZMUC148358	Tp_katanglad_ZMUC138022	Tp_seebohmi_AMNH575639	Tp_kelleri_ZMUC141795	Tp_sspunknown_CMCB37307	Tp_stresemanni_RMNH81993	Tp_erythropleurus_AMNH768697	Tp_erythropleurus_AMNH338105	Tp_versteegi_AMNH340312	Tp_whiteheadi_AMNH575625	Tp_sterlingi_AMNH345801	Tp_schlegelii_AMNH345779	Tp_celebensis_AMNH299444	Tp_hygroscopus_AMNH12571	Tp_papuensis_ZMUC150143	Tp_beehleri_USNM584915	Tp_bougainvillei_AMNH226224	Tp_papuensis_ZMUC192303	Tp_papuensis_AMNH19847	Tp_tolokiwae_AMNH836154	Tp_heinrothi_AMNH575398	Tp_javanicus_AMNH575611	Tp_fumidus_NRM569331	Tp_indrapurae_AMNH575637	Tp_loeseri_YPM41020	Tp_kulambangrae_AMNH215	Tp_sladeni_AMNH22868	Tp_rennellianus_AMNH6594	Tp_whitneyi_AMNH21512	Tp_placens_AMNH21538	Tp_xanthopus_AMNH575554	Tp_albifrons_AMNH336537	Tp_efatensis_AMNH21349	Tp_efatensis_AMNH213129	Tp_pritzbueri_RMNH146375	Tp_mareensis_AMNH575490	Tp_becki_AMNH213163	Tp_vinitinctus_AMNH575436	Tp_poliocephalus_AMNH454235	Tp_pritzbueri_AMNH336817	Tp_sspunknown_AMNH336962	Tp_malekulae_AMNH216313	Tp_hades_AMNH223922	Tp_samoensis_AMNH206154	Tp_samoensis_AMNH206897	Tp_malekulae_AMNH21367	Tp_malekulae_AMNH214424	Tp_becki_AMNH213123	Tp_becki_AMNH213130	Tp_becki_AMNH213136	Tp_ruficeps_AMNH252598	Tp_placens_AMNH216295	Tp_tempesti_AMNH252562	Tp_vanikorensis_AMNH214400	Tp_vitiensis_AMNH223923	Tp_vanikorensis_AMNH214440	Tp_vanikorensis_AMNH214427	Tp_layardi_AMNH252626	Tp_layardi_AMNH252636	Tp_layardi_AMNH252627	Tp_layardi_AMNH252655
b58	Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b59	Tp_whiteheadi_AMNH575625	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336079	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b60	Tp_sterlingi_AMNH345801	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b61	Tp_schlegelii_AMNH345779	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b62	Tp_celebensis_AMNH299444	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b63	Tp_hygroscopus_AMNH12571	nan	0	0	0	0.039735	0	0	0	0.0459938	0	0	0.0435897	0	0.0405233	0	0.0527877	0	0	0	0.0440327	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0.0405042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b64	Tp_papuensis_ZMUC150143	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b65	Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b66	Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	nan	nan	0	0	0	0	0.040031	0.0533948	0.0366207	0.0370977	0	0.0414834	0.0419703	0.0330307	0.0367033	0.0375506	0.0350937	0.0380028	0.0413199	0.0431057	0.0388444	0.0388973	0.0385975	0.0425588	0.0470059	0.0411752	0.036538	0.0340134	0.0362843	0.03236	0.0378683	0.0438034	0.0414316	0.0446602	0.0369558	0.0427514	0.0338663	0.0463702	0.0419548	0.0409071	0.0426263	0.0429108
b67	Tp_beehleri_USNM584915	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b68	Tp_bougainvillei_AMNH226224	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0564348	nan	0	0	0	0.0702088	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b69	Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b70	Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0815371	0	0	0	0.0496352	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b71	Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020	nan	0	0	0	0	0.011132	0	0	0.0120285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b72	Tp_papuensis_ZMUC192303	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b73	Tp_papuensis_AMNH19847	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b74	Tp_tolokiwae_AMNH836154	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0.0466088	0.0452942	0.0526005	0	0.0467125	0.052883	0.0529973	0.0510976	0.0574379	0.0608889	0	0	0.0477336	0.0529008	0.0598549	0.0477377	0	0.0477252	0.0680644	0.0567266	0.0586638	0.061064	0.0601846	0.0470144	0.064351	0.0477064	0.0584228	0.0480552	0.0644851	0.0591695	0.0481068	0.0531811	0.0467578	0.05077
b75	Tp_heinrothi_AMNH575398	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109987	0.0418234	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b76	Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125685	0	0	0	0.0427519	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b77	Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b78	Tp_javanicus_AMNH575611	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b79	Tp_fumidus_NRM569331	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0.0409829	0.0367062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b80	Tp_indrapurae_AMNH575637	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b81	Tp_loeseri_YPM41020	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b82	Tp_kulambangrae_AMNH215	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0443209	0.0454122	0	0	0	0	0	0	0	0	nan	nan	0.0664525	0.0636946	0.0545132	0	0.0628518	0.0606835	0.0611808	0.0642206	0.0568413	0.0644943	0	0.0441985	0.0618902	0.0614372	0.0604336	0.0594254	0.0541293	0.0556703	0.0451258	0.0657855	0.0639049	0.0638713	0.0638977	0.0564679	0.0451211	0.0560374	0.0480663	0.057358	0.0479246	0.0446552	0.0562628	0.0524504	0.0548525	0.0552426
b83	Tp_sladeni_AMNH22868	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b84	Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b85	Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049036	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b86	Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	nan	0	0	nan	nan	nan	nan	0	nan	nan	nan	0	0	0	0	0	nan	0	nan	0	nan	0	0	nan	nan	nan	nan
b87	Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06976	0	0	0	0.0565118	0.0519475	0	0	0	0	0.0983137	0.0824964	0.0689465	nan	nan	nan	nan	0	0	nan	0.0965832	0.0825584	nan	nan	nan	nan	0.119929	nan	nan	nan	0.13158	0.0816898	0.0841592	0.075759	0.0709528	nan	0.113158	nan	0.10972	nan	0.111499	0.116747	nan	nan	nan	nan
b88	Tp_rennellianus_AMNH6594	nan	0	0	0	0.0315124	0	0.0286022	0	0.0304992	0	0	0.0151247	0	0	0	0	0	0	0	0.0349039	0	0	0	0	0	0	0	0	0.0180799	0.0324906	0	0	0	0.0358719	0	0	0	0	0	0	0	0	nan	0.022714	0.0337344	0.0459332	0.0603352	nan	nan	0.0438734	nan	nan	0.0715552	0.0710829	0.0570856	0.055428	nan	0.0695582	0.0663218	0.0645382	nan	nan	nan	nan	nan	0.0680725	nan	0.0637481	nan	0.0684049	nan	nan	0.0661075	0.069563	0.0647213	0.0619405
b89	Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	nan	nan	0	nan	nan	0	0	0	0	nan	0	0	0	nan	nan	nan	nan	nan	0	nan	0	nan	0	nan	nan	0	0	0	0
b90	Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	nan	0	0	nan	nan	nan	nan	0	nan	nan	nan	0	0	0	0	0	nan	0	nan	0	nan	0	0	nan	nan	nan	nan
b91	Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0847763	0	0	nan	nan	0.0615286	0.0597489	nan	0.0989256	0.10486	nan	nan	nan	nan	0.104823	nan	nan	nan	0.0982466	0.0984994	0.0976863	0.104097	0.0877612	nan	0.0909462	nan	0.0856221	nan	0.0872515	0.093629	nan	nan	nan	nan
b92	Tp_whitneyi_AMNH21512	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0.0659163	0.0693649	0	0	0.0651484	0	0	0.0968109	0.102195	0.0754805	0.0670829	0	0.113891	0.104523	0.108873	0	0	0	0	0	0.102073	0	0.115873	0	0.110533	0	0	0.113198	0.112971	0.112426	0.109428
b93	Tp_placens_AMNH21538	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0464759	0	0	0	0	0	0.0411244	0	0	0	0.0417117	0.0509738	0	0	0	0
b94	Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0223968	0	0.0649927	0.0974346	nan	nan	0.0808423	nan	nan	0.11067	0.115417	0.100861	0.0902824	nan	0.122354	0.119479	0.119508	nan	nan	nan	nan	nan	0.126	nan	0.12177	nan	0.125399	nan	nan	0.125959	0.124485	0.125736	0.124635
b95	Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	nan	nan	0	0	0	0	nan	0	0	0	nan	nan	nan	nan	nan	0	nan	0	nan	0	nan	nan	0	0	0	0
b96	Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106475	0.0754001	nan	0.123823	0.0555655	0.0583376	0.131272	0	0	nan	nan	0.148236	0.147791	0	nan	nan	nan	0	0	0	0	0	nan	0	nan	0	nan	0	0	nan	nan	nan	nan
b97	Tp_xanthopus_AMNH575554	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0621049	0	0	0	nan	0	0	0	0	0	0	nan	nan	0	0	0	nan	nan	nan	0	0	0	0	0	nan	0	nan	0	nan	0	0	nan	nan	nan	nan
b98	Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	nan	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b99	Tp_albifrons_AMNH336537	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	nan	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b100	Tp_efatensis_AMNH21349	nan	0.0319963	0.0336732	0.0298652	0.0407942	0.035644	0.0439041	0	0.0383033	0	0	0.0373213	0	0.0379151	0	0.0382048	0	0.0333792	0.0296279	0.0409416	0.0375383	0	0.0350905	0	0.0331719	0	0.037368	0.0410258	0.0489029	0.0307241	0.0407633	0.0372304	0.0362751	0.0341363	0.0353979	0.0354593	0.0346496	0.0400192	0.0388243	0.0361192	0.0472889	0.0466736	0	0.0392807	0.0348408	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0.0399906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b101	Tp_efatensis_AMNH213129	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b102	Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	0	0	0	nan	nan	nan	nan	nan	0	nan	0	nan	0	nan	nan	0	0	0	0
b103	Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0712202	0.0584715	0	0.0489182	0.0911956	0.133321	0.14018	0.0682195	nan	nan	0.0542407	0.06147	0.0842529	0.0722409	nan	0.0700395	0.0665943	0.072219	nan	nan	nan	nan	nan	0.0719903	nan	0.0724007	nan	0.0706716	nan	nan	0.0690158	0.0726404	0.0714937	0.0708158
